sample_index,sample_id,category,task,example,gt_skill_pattern,official_status,official_eligible,repeat_1_status,repeat_1_success,repeat_2_status,repeat_2_success,case_dir
11,CommenSence/select_fruit_common_sense/example0,CommenSence,select_fruit_common_sense,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_fruit_common_sense\example0
12,CommenSence/select_fruit_common_sense/example1,CommenSence,select_fruit_common_sense,example1,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_fruit_common_sense\example1
13,CommenSence/select_nth_largest_poker/example0,CommenSence,select_nth_largest_poker,example0,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_nth_largest_poker\example0
14,CommenSence/select_nth_largest_poker/example1,CommenSence,select_nth_largest_poker,example1,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_nth_largest_poker\example1
15,CommenSence/select_toy_common_sense/example0,CommenSence,select_toy_common_sense,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_toy_common_sense\example0
16,CommenSence/select_toy_common_sense/example1,CommenSence,select_toy_common_sense,example1,pick>place,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_toy_common_sense\example1
17,M&T/add_condiment/example0,M&T,add_condiment,example0,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\add_condiment\example0
18,M&T/add_condiment/example1,M&T,add_condiment,example1,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\add_condiment\example1
19,M&T/insert_flower/example0,M&T,insert_flower,example0,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\insert_flower\example0
20,M&T/insert_flower/example1,M&T,insert_flower,example1,pick>insert,B5_nondeterministic_mismatch,False,completed,True,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\insert_flower\example1
21,M&T/select_billiards/example0,M&T,select_billiards,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_billiards\example0
22,M&T/select_billiards/example1,M&T,select_billiards,example1,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_billiards\example1
23,M&T/select_book/example0,M&T,select_book,example0,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_book\example0
24,M&T/select_book/example1,M&T,select_book,example1,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_book\example1
25,M&T/select_chemistry_tube/example0,M&T,select_chemistry_tube,example0,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_chemistry_tube\example0
26,M&T/select_chemistry_tube/example1,M&T,select_chemistry_tube,example1,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_chemistry_tube\example1
27,M&T/select_drink/example0,M&T,select_drink,example0,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_drink\example0
28,M&T/select_drink/example1,M&T,select_drink,example1,pick>pull,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_drink\example1
29,M&T/select_fruit/example0,M&T,select_fruit,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_fruit\example0
30,M&T/select_fruit/example1,M&T,select_fruit,example1,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_fruit\example1
31,M&T/select_poker/example0,M&T,select_poker,example0,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_poker\example0
32,M&T/select_poker/example1,M&T,select_poker,example1,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_poker\example1
33,M&T/select_toy/example0,M&T,select_toy,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_toy\example0
34,M&T/select_toy/example1,M&T,select_toy,example1,pick>place,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_toy\example1
35,PhysicsLaw/density_qa/example0,PhysicsLaw,density_qa,example0,press,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\density_qa\example0
36,PhysicsLaw/density_qa/example1,PhysicsLaw,density_qa,example1,press,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\density_qa\example1
37,PhysicsLaw/friction_qa/example0,PhysicsLaw,friction_qa,example0,press,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\friction_qa\example0
38,PhysicsLaw/friction_qa/example1,PhysicsLaw,friction_qa,example1,press,B5_nondeterministic_mismatch,False,completed,True,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\friction_qa\example1
39,PhysicsLaw/magnetism_qa/example0,PhysicsLaw,magnetism_qa,example0,press,B5_nondeterministic_mismatch,False,completed,True,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\magnetism_qa\example0
40,PhysicsLaw/magnetism_qa/example1,PhysicsLaw,magnetism_qa,example1,press,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\magnetism_qa\example1
41,PhysicsLaw/reflection_qa/example0,PhysicsLaw,reflection_qa,example0,press,B3_native_exception,False,exception,,exception,,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\reflection_qa\example0
42,PhysicsLaw/reflection_qa/example1,PhysicsLaw,reflection_qa,example1,press,B3_native_exception,False,exception,,exception,,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\reflection_qa\example1
43,PhysicsLaw/speed_of_sound_qa/example0,PhysicsLaw,speed_of_sound_qa,example0,press,B5_nondeterministic_mismatch,False,completed,True,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\speed_of_sound_qa\example0
44,PhysicsLaw/speed_of_sound_qa/example1,PhysicsLaw,speed_of_sound_qa,example1,press,B5_nondeterministic_mismatch,False,completed,True,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\speed_of_sound_qa\example1
45,PhysicsLaw/thermal_expansion_qa/example0,PhysicsLaw,thermal_expansion_qa,example0,press,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\thermal_expansion_qa\example0
46,PhysicsLaw/thermal_expansion_qa/example1,PhysicsLaw,thermal_expansion_qa,example1,press,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\thermal_expansion_qa\example1
47,Semantic/add_condiment_semantic/example0,Semantic,add_condiment_semantic,example0,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\add_condiment_semantic\example0
48,Semantic/add_condiment_semantic/example1,Semantic,add_condiment_semantic,example1,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\add_condiment_semantic\example1
49,Semantic/insert_flower_semantic/example0,Semantic,insert_flower_semantic,example0,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\insert_flower_semantic\example0
50,Semantic/insert_flower_semantic/example1,Semantic,insert_flower_semantic,example1,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\insert_flower_semantic\example1
51,Semantic/select_billiards_semantic/example0,Semantic,select_billiards_semantic,example0,pick>place,B3_native_exception,False,exception,,exception,,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_billiards_semantic\example0
52,Semantic/select_billiards_semantic/example1,Semantic,select_billiards_semantic,example1,pick>place,B3_native_exception,False,exception,,exception,,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_billiards_semantic\example1
53,Semantic/select_book_semantic/example0,Semantic,select_book_semantic,example0,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_book_semantic\example0
54,Semantic/select_book_semantic/example1,Semantic,select_book_semantic,example1,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_book_semantic\example1
55,Semantic/select_chemistry_tube_semantic/example0,Semantic,select_chemistry_tube_semantic,example0,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_chemistry_tube_semantic\example0
56,Semantic/select_chemistry_tube_semantic/example1,Semantic,select_chemistry_tube_semantic,example1,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_chemistry_tube_semantic\example1
57,Semantic/select_drink_semantic/example0,Semantic,select_drink_semantic,example0,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_drink_semantic\example0
58,Semantic/select_drink_semantic/example1,Semantic,select_drink_semantic,example1,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_drink_semantic\example1
59,Semantic/select_fruit_semantic/example0,Semantic,select_fruit_semantic,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_fruit_semantic\example0
60,Semantic/select_fruit_semantic/example1,Semantic,select_fruit_semantic,example1,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_fruit_semantic\example1
61,Semantic/select_poker_semantic/example0,Semantic,select_poker_semantic,example0,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_poker_semantic\example0
62,Semantic/select_poker_semantic/example1,Semantic,select_poker_semantic,example1,pick>lift,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_poker_semantic\example1
63,Semantic/select_toy_semantic/example0,Semantic,select_toy_semantic,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_toy_semantic\example0
64,Semantic/select_toy_semantic/example1,Semantic,select_toy_semantic,example1,pick>place,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Semantic\select_toy_semantic\example1
65,Spatial/add_condiment_spatial/example0,Spatial,add_condiment_spatial,example0,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\add_condiment_spatial\example0
66,Spatial/add_condiment_spatial/example1,Spatial,add_condiment_spatial,example1,pick>pour,B4_timeout,False,completed,False,native_process_timeout,,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\add_condiment_spatial\example1
67,Spatial/insert_bloom_flower/example0,Spatial,insert_bloom_flower,example0,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\insert_bloom_flower\example0
68,Spatial/insert_bloom_flower/example1,Spatial,insert_bloom_flower,example1,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\insert_bloom_flower\example1
69,Spatial/select_billiards_spatial/example0,Spatial,select_billiards_spatial,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\select_billiards_spatial\example0
70,Spatial/select_billiards_spatial/example1,Spatial,select_billiards_spatial,example1,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\select_billiards_spatial\example1
71,Spatial/select_book_spatial/example0,Spatial,select_book_spatial,example0,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\select_book_spatial\example0
72,Spatial/select_book_spatial/example1,Spatial,select_book_spatial,example1,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\select_book_spatial\example1
73,Spatial/select_chemistry_tube_spatial/example0,Spatial,select_chemistry_tube_spatial,example0,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\select_chemistry_tube_spatial\example0
74,Spatial/select_chemistry_tube_spatial/example1,Spatial,select_chemistry_tube_spatial,example1,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\select_chemistry_tube_spatial\example1
75,Spatial/select_fruit_spatial/example0,Spatial,select_fruit_spatial,example0,pick>place,B3_native_exception,False,exception,,exception,,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\select_fruit_spatial\example0
76,Spatial/select_fruit_spatial/example1,Spatial,select_fruit_spatial,example1,pick>place,B3_native_exception,False,exception,,exception,,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\select_fruit_spatial\example1
77,Spatial/select_poker_spatial/example0,Spatial,select_poker_spatial,example0,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\select_poker_spatial\example0
78,Spatial/select_poker_spatial/example1,Spatial,select_poker_spatial,example1,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\select_poker_spatial\example1
79,Spatial/select_toy_spatial/example0,Spatial,select_toy_spatial,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\select_toy_spatial\example0
80,Spatial/select_toy_spatial/example1,Spatial,select_toy_spatial,example1,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\Spatial\select_toy_spatial\example1
