sample_id,task,example,instruction,button_object_map,gt_button_id,gt_button_name,gt_object,gt_material,pred_button_raw,pred_button_resolved_id,pred_object,pred_material,target_exact_match,audit_class,material_level_audit_class,rationale_summary,input_mask
PhysicsLaw/magnetism_qa/example48,magnetism_qa,example48,We are conducting an experiment to identify whether the objects made of various kinds of materials are magnetic. Choose the object that is non-magnetic.,button0->metal_capsule[metal/metal0] | button1->metal_capsule_1[metal/metal2] | button2->stone_capsule[stone/stone0],5,button2,stone_capsule,stone,button2,5,stone_capsule,stone,True,correct_button_and_object,correct_button_and_object,"The stone capsule (component_id 6) is the non-magnetic object, as it is made of stone, which is not magnetic. The button2 is adjacent to this object and should be pressed to select it.",<LOCAL_WORKSPACE>
PhysicsLaw/magnetism_qa/example54,magnetism_qa,example54,We are conducting an experiment to identify whether the objects made of various kinds of materials are magnetic. Choose the object that is magnetic.,button0->stone_cylinder[stone/stone2] | button1->metal_cylinder[metal/metal4] | button2->wood_capsule[wood/wood2],3,button1,metal_cylinder,metal,button0,1,stone_cylinder,stone,False,rationale_supports_pred_wrong_object,rationale_supports_pred_object_or_material,The stone_cylinder (component_id 2) is positioned near button0 and is a candidate for testing magnetism. Pressing button0 is the required action to select this candidate.,<LOCAL_WORKSPACE>
PhysicsLaw/magnetism_qa/example96,magnetism_qa,example96,We are conducting an experiment to identify whether the objects made of various kinds of materials are magnetic. Choose the object that is non-magnetic.,button0->metal_capsule[metal/metal3] | button1->wood_cylinder[wood/wood1] | button2->metal_capsule_1[metal/metal0],3,button1,wood_cylinder,wood,button0,1,metal_capsule,metal,False,rationale_supports_gt_object_but_button_wrong,rationale_supports_gt_object_or_material_but_button_wrong,"The object labeled 'wood_cylinder' (component_id 4) is made of wood, which is non-magnetic, making it the correct choice for identifying a non-magnetic material.",<LOCAL_WORKSPACE>
PhysicsLaw/speed_of_sound_qa/example17,speed_of_sound_qa,example17,"At room temperature, we conduct an experiment for three objects, each made of three different materials, and ask which of the objects has sound traveling the slowest?",button0->stone_capsule[stone/stone] | button1->wood_cylinder[wood/wood0] | button2->metal_sphere[metal/metal2],3,button1,wood_cylinder,wood,button0,1,stone_capsule,stone,False,rationale_supports_pred_wrong_object,rationale_mentions_gt_and_pred_object_or_material,The stone capsule is likely to have the slowest sound travel due to its material properties compared to wood and metal.,<LOCAL_WORKSPACE>
PhysicsLaw/speed_of_sound_qa/example28,speed_of_sound_qa,example28,"At room temperature, we conduct an experiment for three objects, each made of three different materials, and ask which of the objects has sound traveling the slowest?",button0->stone_sphere[stone/stone4] | button1->wood_capsule[wood/wood0] | button2->metal_box[metal/metal2],3,button1,wood_capsule,wood,button0,1,stone_sphere,stone,False,rationale_supports_pred_wrong_object,rationale_mentions_gt_and_pred_object_or_material,"The stone sphere is likely to have the slowest sound travel due to its dense material, which typically slows sound compared to metal or wood.",<LOCAL_WORKSPACE>
PhysicsLaw/speed_of_sound_qa/example39,speed_of_sound_qa,example39,"At room temperature, we conduct an experiment for three objects, each made of three different materials, and ask which of the objects has sound traveling the slowest?",button0->metal_cylinder[metal/metal4] | button1->wood_sphere[wood/wood2] | button2->stone_cylinder[stone/stone2],3,button1,wood_sphere,wood,button0,1,metal_cylinder,metal,False,rationale_mentions_gt_and_pred_button_wrong,rationale_mentions_gt_and_pred_object_or_material,"The metal cylinder is likely to have the fastest sound speed, the wood sphere medium, and the stone cylinder slowest. The button0 is associated with the metal cylinder, so pressing it selects the fastest sound speed, which is the opposite of what the question asks. However, since the task requires selecting one button, and button0 is the first in the list, it is chosen as the default action.",<LOCAL_WORKSPACE>
PhysicsLaw/speed_of_sound_qa/example45,speed_of_sound_qa,example45,"At room temperature, we conduct an experiment for three objects, each made of three different materials, and ask which of the objects has sound traveling the fastest?",button0->stone_box[stone/stone0] | button1->metal_cylinder[metal/metal1] | button2->wood_capsule[wood/wood2],3,button1,metal_cylinder,metal,button0,1,stone_box,stone,False,rationale_supports_gt_object_but_button_wrong,rationale_supports_gt_object_or_material_but_button_wrong,"Sound travels fastest through solids, especially metals. The metal_cylinder (component_id 4) is the most likely candidate for fastest sound transmission.",<LOCAL_WORKSPACE>
PhysicsLaw/speed_of_sound_qa/example51,speed_of_sound_qa,example51,"At room temperature, we conduct an experiment for three objects, each made of three different materials, and ask which of the objects has sound traveling the slowest?",button0->wood_box[wood/wood3] | button1->metal_box[metal/metal1] | button2->stone_cylinder[stone/stone],1,button0,wood_box,wood,button0,1,wood_box,wood,True,correct_button_and_object,correct_button_and_object,"The object with the slowest sound travel is typically the one made of the least dense or most porous material. Among the three materials, stone generally has slower sound propagation compared to metal and wood. The stone_cylinder (component_id 6) is the candidate object for this property.",<LOCAL_WORKSPACE>
PhysicsLaw/speed_of_sound_qa/example70,speed_of_sound_qa,example70,"At room temperature, we conduct an experiment for three objects, each made of three different materials, and ask which of the objects has sound traveling moderately?",button0->wood_capsule[wood/wood3] | button1->metal_box[metal/metal1] | button2->stone_capsule[stone/stone3],5,button2,stone_capsule,stone,button1,3,metal_box,metal,False,rationale_supports_pred_wrong_object,rationale_mentions_gt_and_pred_object_or_material,"The metal box is likely to have moderately fast sound travel, as metals generally transmit sound faster than wood or stone, but not as fast as some other materials. Among the three materials, metal is a good candidate for moderate sound speed.",<LOCAL_WORKSPACE>
PhysicsLaw/speed_of_sound_qa/example80,speed_of_sound_qa,example80,"At room temperature, we conduct an experiment for three objects, each made of three different materials, and ask which of the objects has sound traveling the slowest?",button0->metal_capsule[metal/metal1] | button1->wood_sphere[wood/wood3] | button2->stone_capsule[stone/stone4],3,button1,wood_sphere,wood,button0,1,metal_capsule,metal,False,rationale_other_or_material_only,rationale_no_gt_or_pred_object_or_material,"The stone capsule is likely to have the slowest sound travel due to its dense material, making it the best candidate for the question.",<LOCAL_WORKSPACE>
PhysicsLaw/speed_of_sound_qa/example82,speed_of_sound_qa,example82,"At room temperature, we conduct an experiment for three objects, each made of three different materials, and ask which of the objects has sound traveling the fastest?",button0->wood_cylinder[wood/wood4] | button1->metal_capsule[metal/metal3] | button2->stone_box[stone/stone],3,button1,metal_capsule,metal,button1,3,metal_capsule,metal,True,correct_button_and_object,correct_button_and_object,"Sound travels fastest through solids, especially metals. The metal capsule is likely the object with the fastest sound speed.",<LOCAL_WORKSPACE>
PhysicsLaw/speed_of_sound_qa/example86,speed_of_sound_qa,example86,"At room temperature, we conduct an experiment for three objects, each made of three different materials, and ask which of the objects has sound traveling moderately?",button0->stone_box[stone/stone2] | button1->metal_box[metal/metal3] | button2->wood_cylinder[wood/wood3],1,button0,stone_box,stone,button1,3,metal_box,metal,False,rationale_supports_pred_wrong_object,rationale_mentions_gt_and_pred_object_or_material,"The metal box is likely to have moderately fast sound travel, as metals generally transmit sound faster than wood or stone, but slower than air or vacuum. Among the options, the metal box is the most plausible candidate for moderate sound speed.",<LOCAL_WORKSPACE>
PhysicsLaw/speed_of_sound_qa/example91,speed_of_sound_qa,example91,"At room temperature, we conduct an experiment for three objects, each made of three different materials, and ask which of the objects has sound traveling the slowest?",button0->stone_cylinder[stone/stone3] | button1->wood_cylinder[wood/wood1] | button2->metal_sphere[metal/metal3],3,button1,wood_cylinder,wood,button0,1,stone_cylinder,stone,False,rationale_supports_gt_object_but_button_wrong,rationale_supports_gt_object_or_material_but_button_wrong,"Sound travels slowest in materials with lower density and stiffness, typically wood. The wood_cylinder is the candidate object made of wood, which is likely to have the slowest sound speed among the three materials.",<LOCAL_WORKSPACE>
PhysicsLaw/speed_of_sound_qa/example99,speed_of_sound_qa,example99,"At room temperature, we conduct an experiment for three objects, each made of three different materials, and ask which of the objects has sound traveling the slowest?",button0->metal_sphere[metal/metal4] | button1->wood_cylinder[wood/wood1] | button2->stone_cylinder[stone/stone4],3,button1,wood_cylinder,wood,button0,1,metal_sphere,metal,False,rationale_other_or_material_only,rationale_no_gt_or_pred_object_or_material,"The stone_cylinder (component_id 6) is likely to have the slowest sound travel due to its material properties, and button0 is the corresponding answer selector.",<LOCAL_WORKSPACE>
PhysicsLaw/thermal_expansion_qa/example14,thermal_expansion_qa,example14,"At room temperature, we conduct an experiment in which the same amount of energy is used to heat three objects, each made of three different materials, and ask who expands the least? Note that if you see stone, think of it as marble, and if you see glass, think of it as quartz glass.",button0->metal_box[metal/metal0] | button1->wood_cylinder[wood/wood3] | button2->stone_cylinder[stone/stone],3,button1,wood_cylinder,wood,button0,1,metal_box,metal,False,rationale_other_or_material_only,rationale_mentions_gt_and_pred_object_or_material,"The question asks which material expands the least when heated, implying a comparison of thermal expansion coefficients. Among the materials, marble (stone) has a lower thermal expansion coefficient than wood and metal, making it the least likely to expand. The button0 is associated with the stone_cylinder, which represents marble.",<LOCAL_WORKSPACE>
PhysicsLaw/thermal_expansion_qa/example27,thermal_expansion_qa,example27,"At room temperature, we conduct an experiment in which the same amount of energy is used to heat three objects, each made of three different materials, and ask who expands the most? Note that if you see stone, think of it as marble, and if you see glass, think of it as quartz glass.",button0->stone_capsule[stone/stone3] | button1->metal_cylinder[metal/metal1] | button2->wood_capsule[wood/wood0],3,button1,metal_cylinder,metal,button0,1,stone_capsule,stone,False,rationale_other_or_material_only,rationale_supports_gt_object_or_material_but_button_wrong,"The question asks which material expands the most when heated, implying a comparison of thermal expansion coefficients. Among the materials, metal typically has the highest thermal expansion coefficient, so the action should target the button associated with the metal object.",<LOCAL_WORKSPACE>
PhysicsLaw/thermal_expansion_qa/example39,thermal_expansion_qa,example39,"At room temperature, we conduct an experiment in which the same amount of energy is used to heat three objects, each made of three different materials, and ask who expands the least? Note that if you see stone, think of it as marble, and if you see glass, think of it as quartz glass.",button0->metal_cylinder[metal/metal1] | button1->wood_sphere[wood/wood4] | button2->stone_cylinder[stone/stone],3,button1,wood_sphere,wood,button0,1,metal_cylinder,metal,False,rationale_other_or_material_only,rationale_mentions_gt_and_pred_object_or_material,"The question asks which object expands the least when heated, implying a comparison of thermal expansion coefficients. Among the materials, stone (marble) has a lower thermal expansion coefficient compared to metal and wood, making it the least likely to expand. The button labeled 'button0' is associated with the stone_cylinder, which represents marble.",<LOCAL_WORKSPACE>
PhysicsLaw/thermal_expansion_qa/example47,thermal_expansion_qa,example47,"At room temperature, we conduct an experiment in which the same amount of energy is used to cool three objects, each made of three different materials, and ask who shrinks moderately? Note that if you see stone, think of it as marble, and if you see glass, think of it as quartz glass.",button0->metal_cylinder[metal/metal1] | button1->stone_box[stone/stone0] | button2->wood_sphere[wood/wood0],3,button1,stone_box,stone,button0,1,metal_cylinder,metal,False,rationale_supports_gt_object_but_button_wrong,rationale_mentions_gt_and_pred_object_or_material,"The stone box (component_id 4) is the object that shrinks moderately when cooled, as marble (stone) has a moderate thermal expansion coefficient compared to metal and wood.",<LOCAL_WORKSPACE>
PhysicsLaw/thermal_expansion_qa/example48,thermal_expansion_qa,example48,"At room temperature, we conduct an experiment in which the same amount of energy is used to heat three objects, each made of three different materials, and ask who expands moderately? Note that if you see stone, think of it as marble, and if you see glass, think of it as quartz glass.",button0->metal_cylinder[metal/metal3] | button1->stone_cylinder[stone/stone4] | button2->wood_box[wood/wood0],3,button1,stone_cylinder,stone,button2,5,wood_box,wood,False,rationale_supports_pred_wrong_object,rationale_mentions_gt_and_pred_object_or_material,"The wood_box (component_id 6) represents a material with moderate thermal expansion compared to metal and stone, making it the correct choice for the question.",<LOCAL_WORKSPACE>
PhysicsLaw/thermal_expansion_qa/example73,thermal_expansion_qa,example73,"At room temperature, we conduct an experiment in which the same amount of energy is used to heat three objects, each made of three different materials, and ask who expands moderately? Note that if you see stone, think of it as marble, and if you see glass, think of it as quartz glass.",button0->metal_box[metal/metal2] | button1->stone_sphere[stone/stone3] | button2->wood_sphere[wood/wood1],3,button1,stone_sphere,stone,button0,1,metal_box,metal,False,rationale_other_or_material_only,rationale_supports_gt_object_or_material_but_button_wrong,"The question asks for the object that expands moderately when heated. Among the materials, wood typically expands moderately, while stone (marble) and glass (quartz glass) expand less and more respectively. The wood sphere is the most likely candidate for moderate expansion.",<LOCAL_WORKSPACE>
PhysicsLaw/thermal_expansion_qa/example93,thermal_expansion_qa,example93,"At room temperature, we conduct an experiment in which the same amount of energy is used to cool three objects, each made of three different materials, and ask who shrinks the least? Note that if you see stone, think of it as marble, and if you see glass, think of it as quartz glass.",button0->metal_cylinder[metal/metal4] | button1->wood_cylinder[wood/wood2] | button2->stone_cylinder[stone/stone2],3,button1,wood_cylinder,wood,button0,1,metal_cylinder,metal,False,rationale_other_or_material_only,rationale_mentions_gt_and_pred_object_or_material,"The question asks which object shrinks the least when cooled, implying the material with the lowest thermal expansion coefficient. Marble (stone) has a lower thermal expansion coefficient than metal and wood, so it shrinks the least. The button0 is associated with the stone_cylinder.",<LOCAL_WORKSPACE>
