sample_id,replan_conversion_ok,status,run_position,track_c_status,schema_valid,parse_error,conversion_errors,skill_sequence,updated_at
CommenSence/select_billiards_common_sense/example44,False,completed,71,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:48:44
CommenSence/select_billiards_common_sense/example45,True,completed,72,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:45
CommenSence/select_billiards_common_sense/example46,True,completed,73,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:46
CommenSence/select_billiards_common_sense/example47,False,completed,74,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:hole_0,insert,2026-05-28 09:48:48
CommenSence/select_billiards_common_sense/example49,False,completed,76,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:solid_4;step1:unmapped_component:hole_0,pick>place,2026-05-28 09:48:49
CommenSence/select_billiards_common_sense/example50,True,completed,77,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:50
CommenSence/select_billiards_common_sense/example51,True,completed,78,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:52
CommenSence/select_billiards_common_sense/example53,False,completed,80,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:hole_0,insert,2026-05-28 09:48:53
CommenSence/select_billiards_common_sense/example54,True,completed,81,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:54
CommenSence/select_billiards_common_sense/example55,True,completed,82,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:56
CommenSence/select_billiards_common_sense/example57,False,completed,84,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:48:57
CommenSence/select_billiards_common_sense/example58,True,completed,85,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:58
CommenSence/select_billiards_common_sense/example59,False,completed,86,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:48:59
CommenSence/select_billiards_common_sense/example60,False,completed,87,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:49:00
CommenSence/select_billiards_common_sense/example61,True,completed,88,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:02
CommenSence/select_billiards_common_sense/example62,True,completed,89,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:03
CommenSence/select_billiards_common_sense/example65,True,completed,92,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:04
CommenSence/select_billiards_common_sense/example68,True,completed,94,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:06
CommenSence/select_billiards_common_sense/example69,True,completed,95,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:07
CommenSence/select_billiards_common_sense/example70,True,completed,96,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:08
CommenSence/select_billiards_common_sense/example71,False,completed,97,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:8,pick>place,2026-05-28 09:49:10
CommenSence/select_billiards_common_sense/example73,True,completed,99,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:12
CommenSence/select_billiards_common_sense/example74,True,completed,100,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:13
CommenSence/select_billiards_common_sense/example75,True,completed,101,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:15
CommenSence/select_billiards_common_sense/example76,False,completed,102,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:49:16
CommenSence/select_billiards_common_sense/example77,True,completed,103,C1_qwen_guided_condition_failure,True,,,pick>insert,2026-05-28 09:49:18
CommenSence/select_billiards_common_sense/example78,True,completed,104,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:19
CommenSence/select_billiards_common_sense/example79,True,completed,105,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:21
CommenSence/select_billiards_common_sense/example80,True,completed,106,C1_qwen_guided_condition_failure,True,,,pick>insert,2026-05-28 09:49:22
CommenSence/select_billiards_common_sense/example81,False,completed,107,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:49:23
CommenSence/select_billiards_common_sense/example83,False,completed,108,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:solid_4;step1:unmapped_component:hole_0,pick>place,2026-05-28 09:49:25
CommenSence/select_billiards_common_sense/example84,False,completed,109,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:striped_7;step1:unmapped_component:hole_1,pick>place,2026-05-28 09:49:27
CommenSence/select_billiards_common_sense/example86,True,completed,111,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:49:29
CommenSence/select_billiards_common_sense/example88,True,completed,113,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:30
CommenSence/select_billiards_common_sense/example89,True,completed,114,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:32
CommenSence/select_billiards_common_sense/example90,True,completed,115,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:33
CommenSence/select_billiards_common_sense/example91,True,completed,116,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:35
CommenSence/select_billiards_common_sense/example92,True,completed,117,C1_qwen_guided_condition_failure,True,,,pick>insert,2026-05-28 09:49:37
CommenSence/select_billiards_common_sense/example93,True,completed,118,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:38
CommenSence/select_billiards_common_sense/example95,True,completed,120,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:40
CommenSence/select_billiards_common_sense/example96,True,completed,121,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:49:41
CommenSence/select_billiards_common_sense/example97,False,completed,122,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:solid_5;step1:unmapped_component:hole_0,pick>place,2026-05-28 09:49:43
CommenSence/select_billiards_common_sense/example99,False,completed,124,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:7,pick>place,2026-05-28 09:49:45
CommenSence/select_chemistry_tube_common_sense/example7,False,completed,131,C1_qwen_guided_condition_failure,True,,step1:unmapped_component:mixing_area,pick>place,2026-05-28 09:49:46
CommenSence/select_chemistry_tube_common_sense/example15,True,completed,137,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:49:48
CommenSence/select_chemistry_tube_common_sense/example18,True,completed,139,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:49:51
CommenSence/select_chemistry_tube_common_sense/example32,True,completed,148,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:49:53
CommenSence/select_chemistry_tube_common_sense/example33,True,completed,149,C1_qwen_guided_condition_failure,True,,,pick>lift,2026-05-28 09:49:55
CommenSence/select_chemistry_tube_common_sense/example38,True,completed,154,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:49:57
CommenSence/select_chemistry_tube_common_sense/example39,False,completed,155,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:5,pick>place,2026-05-28 09:49:59
CommenSence/select_chemistry_tube_common_sense/example46,True,completed,161,C1_qwen_guided_condition_failure,True,,,pick,2026-05-28 09:50:01
CommenSence/select_chemistry_tube_common_sense/example58,True,completed,172,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:03
CommenSence/select_chemistry_tube_common_sense/example82,True,completed,193,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:05
CommenSence/select_chemistry_tube_common_sense/example91,False,completed,201,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:5,pick>place,2026-05-28 09:50:07
CommenSence/select_chemistry_tube_common_sense/example99,False,completed,208,C1_qwen_guided_condition_failure,True,,"step0:ambiguous_component:4=>['KMnO4', 'K2CrO4']",pick>place,2026-05-28 09:50:08
CommenSence/select_drink_common_sense/example0,False,completed,209,C1_qwen_guided_condition_failure,True,,step1:unmapped_component:bar,pick>place,2026-05-28 09:50:10
CommenSence/select_drink_common_sense/example1,False,completed,210,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:orange_juice_box,pick>place,2026-05-28 09:50:12
CommenSence/select_drink_common_sense/example3,True,completed,211,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:14
CommenSence/select_drink_common_sense/example11,False,completed,213,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:bottle_0,pick>place,2026-05-28 09:50:15
CommenSence/select_drink_common_sense/example31,True,completed,218,C1_qwen_guided_condition_failure,True,,,pick>pour,2026-05-28 09:50:17
CommenSence/select_drink_common_sense/example37,False,completed,221,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:faragello_gold,pick>place,2026-05-28 09:50:18
CommenSence/select_drink_common_sense/example60,True,completed,235,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:19
CommenSence/select_drink_common_sense/example67,False,completed,237,C1_qwen_guided_condition_failure,True,,step1:unmapped_component:glass,pick>place,2026-05-28 09:50:21
CommenSence/select_drink_common_sense/example81,True,completed,243,C1_qwen_guided_condition_failure,True,,,pull>pick>place,2026-05-28 09:50:22
CommenSence/select_drink_common_sense/example87,False,completed,245,C1_qwen_guided_condition_failure,True,,step2:unmapped_component:bar,pull>pick>place,2026-05-28 09:50:24
CommenSence/select_drink_common_sense/example95,False,completed,248,C1_qwen_guided_condition_failure,False,,sequence_missing_or_empty,,2026-05-28 09:50:26
CommenSence/select_drink_common_sense/example96,False,completed,249,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:ssips,pick>place,2026-05-28 09:50:27
CommenSence/select_fruit_common_sense/example3,True,completed,253,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:29
CommenSence/select_fruit_common_sense/example5,True,completed,255,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:30
CommenSence/select_fruit_common_sense/example8,True,completed,258,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:32
CommenSence/select_fruit_common_sense/example23,True,completed,273,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:34
CommenSence/select_fruit_common_sense/example30,True,completed,279,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:35
CommenSence/select_fruit_common_sense/example32,True,completed,281,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:37
CommenSence/select_fruit_common_sense/example35,True,completed,282,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:38
CommenSence/select_fruit_common_sense/example39,True,completed,287,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:40
CommenSence/select_fruit_common_sense/example42,True,completed,290,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:41
CommenSence/select_fruit_common_sense/example47,True,completed,294,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:43
CommenSence/select_fruit_common_sense/example50,True,completed,297,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:44
CommenSence/select_fruit_common_sense/example51,True,completed,298,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:46
CommenSence/select_fruit_common_sense/example52,True,completed,299,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:48
CommenSence/select_fruit_common_sense/example57,True,completed,304,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:49
CommenSence/select_fruit_common_sense/example58,True,completed,305,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:51
CommenSence/select_fruit_common_sense/example67,True,completed,314,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:52
CommenSence/select_fruit_common_sense/example79,True,completed,325,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:54
CommenSence/select_fruit_common_sense/example78,True,completed,326,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:56
CommenSence/select_fruit_common_sense/example88,True,completed,336,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:57
CommenSence/select_fruit_common_sense/example93,True,completed,340,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:50:58
CommenSence/select_fruit_common_sense/example95,False,completed,341,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:apple,pick>place,2026-05-28 09:51:00
CommenSence/select_fruit_common_sense/example97,True,completed,344,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:02
CommenSence/select_fruit_common_sense/example98,True,completed,346,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:04
CommenSence/select_nth_largest_poker/example0,True,completed,347,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:06
CommenSence/select_nth_largest_poker/example2,False,completed,349,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:51:08
CommenSence/select_nth_largest_poker/example3,True,completed,350,C2_qwen_conversion_failure,True,,,pick>place,2026-05-28 09:51:10
CommenSence/select_nth_largest_poker/example4,True,completed,351,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:12
CommenSence/select_nth_largest_poker/example5,True,completed,352,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:15
CommenSence/select_nth_largest_poker/example6,True,completed,353,C2_qwen_conversion_failure,True,,,pick>place,2026-05-28 09:51:17
CommenSence/select_nth_largest_poker/example9,False,completed,355,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:10_of_diamonds,pick>place,2026-05-28 09:51:19
CommenSence/select_nth_largest_poker/example8,True,completed,356,C2_qwen_conversion_failure,True,,,pick,2026-05-28 09:51:21
CommenSence/select_nth_largest_poker/example10,True,completed,358,C2_qwen_conversion_failure,True,,,pick>place,2026-05-28 09:51:24
CommenSence/select_nth_largest_poker/example13,True,completed,360,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:26
CommenSence/select_nth_largest_poker/example14,True,completed,361,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:28
CommenSence/select_nth_largest_poker/example15,True,completed,362,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:30
CommenSence/select_nth_largest_poker/example17,True,completed,363,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:31
CommenSence/select_nth_largest_poker/example16,True,completed,364,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:33
CommenSence/select_nth_largest_poker/example19,True,completed,365,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:34
CommenSence/select_nth_largest_poker/example18,False,completed,366,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:9,pick>place,2026-05-28 09:51:36
CommenSence/select_nth_largest_poker/example21,True,completed,367,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:37
CommenSence/select_nth_largest_poker/example20,False,completed,368,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:7,pick>place,2026-05-28 09:51:39
CommenSence/select_nth_largest_poker/example22,True,completed,369,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:41
CommenSence/select_nth_largest_poker/example23,True,completed,370,C2_qwen_conversion_failure,True,,,pick,2026-05-28 09:51:42
CommenSence/select_nth_largest_poker/example25,True,completed,371,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:43
CommenSence/select_nth_largest_poker/example24,False,completed,372,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:7,pick>place,2026-05-28 09:51:45
CommenSence/select_nth_largest_poker/example26,False,completed,373,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:9_of_spades,pick>place,2026-05-28 09:51:46
CommenSence/select_nth_largest_poker/example27,True,completed,374,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:48
CommenSence/select_nth_largest_poker/example29,True,completed,375,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:50
CommenSence/select_nth_largest_poker/example28,True,completed,376,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:52
CommenSence/select_nth_largest_poker/example30,True,completed,377,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:51:54
CommenSence/select_nth_largest_poker/example31,False,completed,378,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:10_of_hearts,pick>place,2026-05-28 09:51:55
CommenSence/select_nth_largest_poker/example33,True,completed,380,C2_qwen_conversion_failure,True,,,pick,2026-05-28 09:51:57
CommenSence/select_nth_largest_poker/example35,False,completed,381,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:51:59
CommenSence/select_nth_largest_poker/example37,True,completed,383,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:01
CommenSence/select_nth_largest_poker/example38,True,completed,385,C2_qwen_conversion_failure,True,,,pick>place,2026-05-28 09:52:03
CommenSence/select_nth_largest_poker/example39,True,completed,386,C2_qwen_conversion_failure,True,,,pick,2026-05-28 09:52:05
CommenSence/select_nth_largest_poker/example40,True,completed,387,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:08
CommenSence/select_nth_largest_poker/example42,False,completed,389,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:52:10
CommenSence/select_nth_largest_poker/example43,True,completed,390,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:12
CommenSence/select_nth_largest_poker/example46,True,completed,393,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:15
CommenSence/select_nth_largest_poker/example48,True,completed,395,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:18
CommenSence/select_nth_largest_poker/example49,True,completed,396,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:20
CommenSence/select_nth_largest_poker/example50,True,completed,397,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:23
CommenSence/select_nth_largest_poker/example51,False,completed,398,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:52:25
CommenSence/select_nth_largest_poker/example52,True,completed,399,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:28
CommenSence/select_nth_largest_poker/example54,True,completed,401,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:32
CommenSence/select_nth_largest_poker/example55,True,completed,402,C1_qwen_guided_condition_failure,True,,,pick,2026-05-28 09:52:35
CommenSence/select_nth_largest_poker/example56,False,completed,403,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:9,pick>place,2026-05-28 09:52:39
CommenSence/select_nth_largest_poker/example57,True,completed,404,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:41
CommenSence/select_nth_largest_poker/example58,True,completed,405,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:43
CommenSence/select_nth_largest_poker/example61,False,completed,408,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:52:44
CommenSence/select_nth_largest_poker/example63,True,completed,409,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:46
CommenSence/select_nth_largest_poker/example64,False,completed,410,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:52:48
CommenSence/select_nth_largest_poker/example65,True,completed,411,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:49
CommenSence/select_nth_largest_poker/example66,True,completed,412,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:52:51
CommenSence/select_nth_largest_poker/example67,False,completed,413,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:52:52
CommenSence/select_nth_largest_poker/example68,True,completed,414,C1_qwen_guided_condition_failure,True,,,pick,2026-05-28 09:52:54
CommenSence/select_nth_largest_poker/example70,True,completed,416,C1_qwen_guided_condition_failure,True,,,pick,2026-05-28 09:52:55
CommenSence/select_nth_largest_poker/example71,True,completed,417,C1_qwen_guided_condition_failure,True,,,pick,2026-05-28 09:52:57
CommenSence/select_nth_largest_poker/example72,True,completed,418,C1_qwen_guided_condition_failure,True,,,pick,2026-05-28 09:52:59
CommenSence/select_nth_largest_poker/example73,True,completed,419,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:53:00
CommenSence/select_nth_largest_poker/example75,False,completed,421,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:3_of_hearts;step1:unmapped_component:card_holder3,pick>place,2026-05-28 09:53:02
CommenSence/select_nth_largest_poker/example76,False,completed,422,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:7,pick>place,2026-05-28 09:53:04
CommenSence/select_nth_largest_poker/example77,True,completed,423,C2_qwen_conversion_failure,True,,,pick,2026-05-28 09:53:06
CommenSence/select_nth_largest_poker/example78,True,completed,424,C2_qwen_conversion_failure,True,,,pick>place,2026-05-28 09:53:08
CommenSence/select_nth_largest_poker/example80,True,completed,426,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:53:10
CommenSence/select_nth_largest_poker/example82,True,completed,427,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:53:12
CommenSence/select_nth_largest_poker/example83,False,completed,429,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:card_holder3;step1:unmapped_component:card_holder1,pick>place,2026-05-28 09:53:14
CommenSence/select_nth_largest_poker/example84,True,completed,430,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:53:15
CommenSence/select_nth_largest_poker/example85,True,completed,431,C1_qwen_guided_condition_failure,True,,,pick,2026-05-28 09:53:17
CommenSence/select_nth_largest_poker/example86,False,completed,432,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:53:19
CommenSence/select_nth_largest_poker/example87,True,completed,433,C2_qwen_conversion_failure,True,,,pick>place,2026-05-28 09:53:21
CommenSence/select_nth_largest_poker/example89,True,completed,435,C2_qwen_conversion_failure,True,,,pick>place,2026-05-28 09:53:24
CommenSence/select_nth_largest_poker/example90,True,completed,436,C2_qwen_conversion_failure,True,,,pick,2026-05-28 09:53:26
CommenSence/select_nth_largest_poker/example92,False,completed,437,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:9,pick>place,2026-05-28 09:53:28
CommenSence/select_nth_largest_poker/example91,True,completed,438,C2_qwen_conversion_failure,True,,,pick>place,2026-05-28 09:53:30
CommenSence/select_nth_largest_poker/example93,True,completed,440,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:53:32
CommenSence/select_nth_largest_poker/example95,True,completed,441,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:53:34
CommenSence/select_nth_largest_poker/example96,True,completed,442,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:53:36
CommenSence/select_nth_largest_poker/example97,True,completed,443,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:53:38
CommenSence/select_nth_largest_poker/example99,False,completed,445,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:53:40
CommenSence/select_toy_common_sense/example5,True,completed,449,C1_qwen_guided_condition_failure,True,,,pick>lift>place,2026-05-28 09:53:42
