sample_index,sample_id,official_status,case_dir,repeat_1_final_dir,repeat_2_final_dir,missing_count,missing_items
11,CommenSence/add_condiment_common_sense/example10,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example10,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example10\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example10\official_repeat_2,0,
12,CommenSence/add_condiment_common_sense/example11,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example11,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example11\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example11\official_repeat_2,0,
13,CommenSence/add_condiment_common_sense/example12,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example12,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example12\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example12\official_repeat_2,0,
14,CommenSence/add_condiment_common_sense/example13,B5_nondeterministic_mismatch,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example13,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example13\official_repeat_1_retry1_exception,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example13\official_repeat_2,0,
15,CommenSence/add_condiment_common_sense/example14,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example14,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example14\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example14\official_repeat_2,0,
16,CommenSence/add_condiment_common_sense/example15,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example15,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example15\official_repeat_1_retry2_exception,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example15\official_repeat_2,0,
17,CommenSence/add_condiment_common_sense/example16,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example16,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example16\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example16\official_repeat_2,0,
18,CommenSence/add_condiment_common_sense/example17,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example17,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example17\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example17\official_repeat_2,0,
19,CommenSence/add_condiment_common_sense/example18,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example18,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example18\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example18\official_repeat_2,0,
20,CommenSence/add_condiment_common_sense/example19,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example19,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example19\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example19\official_repeat_2,0,
21,CommenSence/add_condiment_common_sense/example20,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example20,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example20\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example20\official_repeat_2,0,
22,CommenSence/add_condiment_common_sense/example21,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example21,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example21\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example21\official_repeat_2,0,
23,CommenSence/add_condiment_common_sense/example22,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example22,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example22\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example22\official_repeat_2,0,
24,CommenSence/add_condiment_common_sense/example23,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example23,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example23\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example23\official_repeat_2,0,
25,CommenSence/add_condiment_common_sense/example24,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example24,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example24\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example24\official_repeat_2,0,
26,CommenSence/add_condiment_common_sense/example25,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example25,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example25\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example25\official_repeat_2,0,
27,CommenSence/add_condiment_common_sense/example26,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example26,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example26\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example26\official_repeat_2,0,
28,CommenSence/add_condiment_common_sense/example27,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example27,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example27\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example27\official_repeat_2,0,
29,CommenSence/add_condiment_common_sense/example28,B5_nondeterministic_mismatch,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example28,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example28\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example28\official_repeat_2,0,
30,CommenSence/add_condiment_common_sense/example29,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example29,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example29\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example29\official_repeat_2,0,
31,CommenSence/add_condiment_common_sense/example30,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example30,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example30\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example30\official_repeat_2,0,
32,CommenSence/add_condiment_common_sense/example31,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example31,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example31\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example31\official_repeat_2,0,
33,CommenSence/add_condiment_common_sense/example32,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example32,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example32\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example32\official_repeat_2,0,
34,CommenSence/add_condiment_common_sense/example33,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example33,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example33\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example33\official_repeat_2,0,
35,CommenSence/add_condiment_common_sense/example34,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example34,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example34\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example34\official_repeat_2,0,
36,CommenSence/add_condiment_common_sense/example35,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example35,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example35\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example35\official_repeat_2,0,
37,CommenSence/add_condiment_common_sense/example36,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example36,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example36\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example36\official_repeat_2,0,
38,CommenSence/add_condiment_common_sense/example37,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example37,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example37\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example37\official_repeat_2_retry2_exception,0,
39,CommenSence/add_condiment_common_sense/example38,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example38,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example38\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example38\official_repeat_2,0,
40,CommenSence/add_condiment_common_sense/example39,B5_nondeterministic_mismatch,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example39,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example39\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example39\official_repeat_2,0,
41,CommenSence/add_condiment_common_sense/example40,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example40,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example40\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example40\official_repeat_2,0,
42,CommenSence/add_condiment_common_sense/example41,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example41,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example41\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example41\official_repeat_2,0,
43,CommenSence/add_condiment_common_sense/example42,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example42,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example42\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example42\official_repeat_2,0,
44,CommenSence/add_condiment_common_sense/example44,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example44,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example44\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example44\official_repeat_2,0,
45,CommenSence/add_condiment_common_sense/example43,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example43,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example43\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example43\official_repeat_2,0,
46,CommenSence/add_condiment_common_sense/example46,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example46,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example46\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example46\official_repeat_2,0,
47,CommenSence/add_condiment_common_sense/example45,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example45,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example45\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example45\official_repeat_2,0,
48,CommenSence/add_condiment_common_sense/example48,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example48,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example48\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example48\official_repeat_2,0,
49,CommenSence/add_condiment_common_sense/example47,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example47,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example47\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example47\official_repeat_2_retry1_exception,0,
50,CommenSence/add_condiment_common_sense/example50,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example50,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example50\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example50\official_repeat_2,0,
51,CommenSence/add_condiment_common_sense/example49,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example49,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example49\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example49\official_repeat_2,0,
52,CommenSence/add_condiment_common_sense/example51,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example51,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example51\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example51\official_repeat_2,0,
53,CommenSence/add_condiment_common_sense/example52,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example52,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example52\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example52\official_repeat_2_retry1_exception,0,
